epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.027,1.31495,3.46577,1.15987,0.0408,0.70781,0.54214,0.40862,1.01557,3.66718,0.972,0.00025023,0.00025023,0.00025023
2,597.853,1.10293,1.48275,1.06053,0.99702,0.30276,0.91213,0.69228,0.89245,2.57576,0.98882,0.000501549,0.000501549,0.000501549
3,889.939,0.96872,0.84945,1.01289,0.97934,0.99223,0.99217,0.72674,1.02418,0.98258,1.02473,0.000747791,0.000747791,0.000747791
4,1179.13,0.94834,0.75655,1.0006,0.98466,0.99046,0.99219,0.77634,0.84628,0.69181,0.99658,0.000746161,0.000746161,0.000746161
5,1467.45,0.85932,0.67577,0.9637,0.98995,0.99137,0.99418,0.83605,0.68018,0.58439,0.92508,0.000738548,0.000738548,0.000738548
6,1757.45,0.78134,0.6297,0.93612,0.99373,0.99082,0.99275,0.81723,0.7326,0.54106,0.92607,0.000730935,0.000730935,0.000730935
7,2045.91,0.74455,0.59479,0.92487,0.98954,0.9952,0.99388,0.79897,0.81634,0.51922,0.95698,0.000723321,0.000723321,0.000723321
8,2333.41,0.71053,0.56527,0.91816,0.99461,0.98769,0.99287,0.85264,0.63238,0.49947,0.90764,0.000715708,0.000715708,0.000715708
9,2626.63,0.70037,0.54737,0.91364,0.99235,0.99132,0.99332,0.84931,0.64488,0.48045,0.92668,0.000708095,0.000708095,0.000708095
10,2914.18,0.65832,0.52338,0.90413,0.99218,0.9921,0.99304,0.88102,0.5196,0.44986,0.87845,0.000700482,0.000700482,0.000700482
11,3202.34,0.66268,0.50737,0.90167,0.99507,0.99179,0.99288,0.87302,0.55889,0.45406,0.8916,0.000692869,0.000692869,0.000692869
12,3492.45,0.676,0.50583,0.90247,0.99382,0.99183,0.993,0.89825,0.47919,0.41092,0.87235,0.000685256,0.000685256,0.000685256
13,3777.29,0.62134,0.48484,0.88853,0.98601,0.99551,0.9938,0.90781,0.42624,0.39653,0.86001,0.000677643,0.000677643,0.000677643
14,4063.46,0.59326,0.46938,0.88567,0.99576,0.98856,0.993,0.89703,0.4645,0.39098,0.87557,0.00067003,0.00067003,0.00067003
15,4351.92,0.66883,0.48543,0.90149,0.99232,0.99349,0.99327,0.89845,0.46975,0.41769,0.87102,0.000662417,0.000662417,0.000662417
16,4640.32,0.57588,0.45359,0.87742,0.9913,0.99061,0.9932,0.90664,0.4451,0.38906,0.86022,0.000654804,0.000654804,0.000654804
